run_accession	sample_accession	sample_title	sample_alias	scientific_name	cultivar	variety	ecotype	strain	country	instrument_platform	library_layout	base_count
SRR11593235	SAMN14548291	Plant sample from Oryza sativa	RIL-89-GZ	Oryza sativa	RIL-89-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5246193600
SRR11593237	SAMN14548289	Plant sample from Oryza sativa	RIL-87-GZ	Oryza sativa	RIL-87-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5126328900
SRR11593244	SAMN14548283	Plant sample from Oryza sativa	RIL-81-GZ	Oryza sativa	RIL-81-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5220351900
SRR11593246	SAMN14548281	Plant sample from Oryza sativa	RIL-79-GZ	Oryza sativa	RIL-79-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5036336100
SRR11593251	SAMN14548277	Plant sample from Oryza sativa	RIL-75-GZ	Oryza sativa	RIL-75-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5082355800
SRR11593252	SAMN14548276	Plant sample from Oryza sativa	RIL-74-GZ	Oryza sativa	RIL-74-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5032566000
SRR11593258	SAMN14548270	Plant sample from Oryza sativa	RIL-68-GZ	Oryza sativa	RIL-68-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5077414200
SRR11593259	SAMN14548269	Plant sample from Oryza sativa	RIL-67-GZ	Oryza sativa	RIL-67-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5010196200
SRR11593264	SAMN14548265	Plant sample from Oryza sativa	RIL-63-GZ	Oryza sativa	RIL-63-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5195684700
SRR11593266	SAMN14548263	Plant sample from Oryza sativa	RIL-61-GZ	Oryza sativa	RIL-61-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5167392600
SRR11593277	SAMN14548253	Plant sample from Oryza sativa	RIL-51-GZ	Oryza sativa	RIL-51-GZ		Guangzhou		China: Guangzhou	ILLUMINA	PAIRED	5039586900
