run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR7068439	ERX6637385	SAMEA10005188	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1657938	248690700	Shanghai Normal University	2024-07-18		N7-4-27E	N7-4-27E	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068439/ERR7068439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068439/ERR7068439_2.fastq.gz	74093760;77679273
ERR7068445	ERX6637391	SAMEA10005194	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1219044	182856600	Shanghai Normal University	2024-07-18		N7-4-29B	N7-4-29B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068445/ERR7068445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068445/ERR7068445_2.fastq.gz	52544811;53366563
ERR7068446	ERX6637392	SAMEA10005195	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1474488	221173200	Shanghai Normal University	2024-07-18		N7-4-29C	N7-4-29C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068446/ERR7068446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068446/ERR7068446_2.fastq.gz	66754694;69954918
ERR7068451	ERX6637397	SAMEA10005200	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	974618	146192700	Shanghai Normal University	2024-07-18		N7-4-30A	N7-4-30A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068451/ERR7068451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068451/ERR7068451_2.fastq.gz	44584957;47401766
ERR7068454	ERX6637400	SAMEA10005203	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	856012	128401800	Shanghai Normal University	2024-07-18		N7-4-30E	N7-4-30E	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068454/ERR7068454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/004/ERR7068454/ERR7068454_2.fastq.gz	39108436;41807174
ERR7068456	ERX6637402	SAMEA10005205	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	778186	116727900	Shanghai Normal University	2024-07-18		N7-4-31B	N7-4-31B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068456/ERR7068456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068456/ERR7068456_2.fastq.gz	34686303;37209682
ERR7068462	ERX6637408	SAMEA10005211	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	1693946	254091900	Shanghai Normal University	2024-07-18		N7-4-32C	N7-4-32C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068462/ERR7068462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/002/ERR7068462/ERR7068462_2.fastq.gz	77153581;82269441
ERR7068463	ERX6637409	SAMEA10005212	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	804396	120659400	Shanghai Normal University	2024-07-18		N7-4-32D	N7-4-32D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068463/ERR7068463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068463/ERR7068463_2.fastq.gz	36881929;39459305
ERR7068466	ERX6637412	SAMEA10005215	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	435454	65318100	Shanghai Normal University	2024-07-18		N7-4-33C	N7-4-33C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068466/ERR7068466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068466/ERR7068466_2.fastq.gz	20085369;21430195
ERR7068469	ERX6637415	SAMEA10005218	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	424412	63661800	Shanghai Normal University	2024-07-18		N7-4-34A	N7-4-34A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068469/ERR7068469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068469/ERR7068469_2.fastq.gz	19705460;21240005
