topic	pmid	year	journal	first_author	title	doi
imputation_lowcov	39126800	2024	Animal	Wang XQ	Imputation strategies for low-coverage whole-genome sequencing data and their effects on genomic prediction and genome-wide association studies in pigs	10.1016/j.animal.2024.101258
imputation_lowcov	39028337	2024	Mamm Genome	Çubukcu H	Evaluation of genotype imputation using Glimpse tools on low coverage ancient DNA	10.1007/s00335-024-10053-4
imputation_lowcov	33473199	2021	Nat Genet	Rubinacci S	Publisher Correction: Efficient phasing and imputation of low-coverage sequencing data using large reference panels	10.1038/s41588-021-00788-0
imputation_lowcov	35151474	2022	J Dairy Sci	Teng J	Assessment of the performance of different imputation methods for low-coverage sequencing in Holstein cattle	10.3168/jds.2021-21360
imputation_lowcov	41257582	2025	BMC Genomics	Koorevaar T	Genotype imputation from low-coverage WGS using haplotype reference panels in cultivated strawberry	10.1186/s12864-025-12270-w
variety_similarity_ml	36832960	2023	Foods	Yu F	Deep Learning-Based Intelligent Apple Variety Classification System and Model Interpretability Analysis	10.3390/foods12040885
variety_similarity_ml	38927655	2024	Genes (Basel)	Chen P	Genetic Identification of Medicinal Citrus Cultivar 'Local Juhong' Using Molecular Markers and Genomics	10.3390/genes15060719
variety_similarity_ml	41402752	2025	BMC Plant Biol	Akbarpour O	Deep learning-based seed variety classification: a case study in maize	10.1186/s12870-025-07919-3
variety_similarity_ml	36003818	2022	Front Plant Sci	Tao M	Combination of spectral index and transfer learning strategy for glyphosate-resistant cultivar identification	10.3389/fpls.2022.973745
variety_similarity_ml	34371609	2021	Plants (Basel)	Taheri-Garavand A	Automated In Situ Seed Variety Identification via Deep Learning: A Case Study in Chickpea	10.3390/plants10071406
variety_similarity_ml	36650465	2023	BMC Plant Biol	Zhang J	Genetic diversity analysis and variety identification using SSR and SNP markers in melon	10.1186/s12870-023-04056-7
variety_similarity_ml	32889133	2021	Food Chem	Mascellani A	(1)H NMR chemometric models for classification of Czech wine type and variety	10.1016/j.foodchem.2020.127852
variety_similarity_ml	41605999	2026	Sci Rep	Bagherpour H	Machine learning approach for wheat variety identification using single-seed imaging	10.1038/s41598-026-35252-8
variety_similarity_ml	39942650	2025	Molecules	Rodrigues PM	Machine Learning-Based Spectral Analyses for Camellia japonica Cultivar Identification	10.3390/molecules30030546
variety_similarity_ml	40134410	2025	Int J Food Sci	Yılmaz B	Exploring Deep Learning Approaches for Walnut Phenotype Variety Classification	10.1155/ijfo/9677985
variety_similarity_ml	34973616	2022	Spectrochim Acta A Mol Biomol Spectrosc	Liu Q	Variety classification of coated maize seeds based on Raman hyperspectral imaging	10.1016/j.saa.2021.120772
variety_similarity_ml	34344983	2021	Sci Rep	Yang H	A novel method for peanut variety identification and classification by Improved VGG16	10.1038/s41598-021-95240-y
variety_similarity_ml	38805455	2024	PLoS One	Liu X	Cotton seed cultivar identification based on the fusion of spectral and textural features	10.1371/journal.pone.0303219
variety_similarity_ml	35734255	2022	Front Plant Sci	Wang J	Multi-Information Model for Large-Flowered Chrysanthemum Cultivar Recognition and Classification	10.3389/fpls.2022.806711
variety_similarity_ml	40941168	2025	Foods	Zhang L	Variety Identification of Corn Seeds Based on Hyperspectral Imaging and Convolutional Neural Network	10.3390/foods14173052
variety_similarity_ml	37563698	2023	Plant Methods	Li X	Classification of multi-year and multi-variety pumpkin seeds using hyperspectral imaging technology and three-dimensional convolutional neural network	10.1186/s13007-023-01057-3
variety_similarity_ml	38486848	2024	Front Plant Sci	Xue M	Advanced deep learning models for phenotypic trait extraction and cultivar classification in lychee using photon-counting micro-CT imaging	10.3389/fpls.2024.1358360
variety_similarity_ml	37959114	2023	Foods	Iqbal MJ	On Application of Lightweight Models for Rice Variety Classification and Their Potential in Edge Computing	10.3390/foods12213993
variety_similarity_ml	41154094	2025	Foods	Qi G	Variety Identification of Corn Seeds Based on Hyperspectral Imaging and Residual Mamba 1D CNN	10.3390/foods14203558
variety_similarity_ml	40895148	2025	Food Sci Nutr	Gargiulo L	Olive Variety Classification and Prediction From 3D Morphology of Fruit and Stone: A Study Case on Five South Italy Autochthone Cultivars	10.1002/fsn3.70797
