# 疑似编号型品种名，无法自动解析为规范名，待人工核对
# 格式：规范化键<TAB>n_runs<TAB>原始写法
em205	1	em205
em293	1	em293
em216	1	em216
em220	1	em220
em119	1	em119
em120	1	em120
em124	1	em124
em125	1	em125
em127	1	em127
em135	1	em135
em144	1	em144
em179	1	em179
em185	1	em185
em197	1	em197
em302	1	em302
438	1	438
376	1	376
2134	1	2134
9348	1	9348
6360	1	6360
679	1	679
674	1	674
671	1	671
66	1	66
655	1	655
651	1	651
645	1	645
640	1	640
635	1	635
1087	1	1087
613	1	613
1279	1	1279
1276	1	1276
1250	1	1250
1026	1	1026
1237	1	1237
1219	1	1219
1217	1	1217
1192	1	1192
838	1	838
822	1	822
814	1	814
794	1	794
77	1	77
76	1	76
752	1	752
39	1	39
1054	1	1054
599	1	599
594	1	594
593	1	593
587	1	587
576	1	576
562	1	562
501	1	501
494	1	494
1061	1	1061
476	1	476
473	1	473
1058	1	1058
462	1	462
452	1	452
1057	1	1057
1387	1	1387
1374	1	1374
1371	1	1371
1365	1	1365
1046	1	1046
1341	1	1341
1334	1	1334
1323	1	1323
1017	1	1017
1137	1	1137
1131	1	1131
993	1	993
1015	1	1015
937	1	937
922	1	922
1119	1	1119
861	1	861
740	1	740
706	1	706
1307	1	1307
1301	1	1301
1284	1	1284
554	1	554
1070	1	1070
542	1	542
528	1	528
521	1	521
520	1	520
518	1	518
517	1	517
1064	1	1064
1383	1	1383
em255	1	em255
em259	1	em259
em261	1	em261
em298	1	em298
em264	1	em264
em268	1	em268
em065	1	em065
em067	1	em067
em068	1	em068
em070	1	em070
em081	1	em081
em085	1	em085
em086	1	em086
em088	1	em088
em089	1	em089
em273	1	em273
em092	1	em092
em101	1	em101
em108	1	em108
em115	1	em115
em226	1	em226
em228	1	em228
em229	1	em229
em233	1	em233
em236	1	em236
em241	1	em241
em245	1	em245
em246	1	em246
em277	1	em277
em149	1	em149
em155	1	em155
em158	1	em158
em161	1	em161
em165	1	em165
em289	1	em289
em174	1	em174
em203	1	em203
em204	1	em204
em210	1	em210
em218	1	em218
em294	1	em294
em133	1	em133
em138	1	em138
em145	1	em145
em178	1	em178
em290	1	em290
em186	1	em186
em187	1	em187
em196	1	em196
em198	1	em198
em201	1	em201
em202	1	em202
19	1	19
15	1	15
12	1	12
1318	1	1318
